Name,Count of Baby Names,Count of Dog Names
Conrad,2600,4
Constance,1859,1
Consuelo,601,1
Contessa,286,5
Conway,119,2
Cooper,32993,330
Cora,7715,18
Coral,1825,2
Coraline,140,3
Corbin,11770,3
Corby,86,1
Cordelia,1215,5
Corey,17822,3
Cori,1249,1
Cormac,768,1
Cornelius,1915,7
Corrie,447,1
Corwin,546,1
Cory,9105,14
Cosette,618,5
Cosimo,67,2
Cosmo,252,94
Cotton,104,28
Coty,344,4
Cougar,125,3
Coulter,203,1
Couper,86,1
Courage,58,8
Courtney,28453,4
Coy,1393,1
Craig,5523,1
Crawford,227,1
Crimson,344,1
Cris,304,1
Crispin,232,2
Cristal,4295,6
Cristiano,473,1
Cristina,6944,3
Crosby,249,16
Cruz,5318,2
Crystal,18850,36
Cullen,3231,1
Curry,60,4
Curtis,9613,8
Cutler,243,1
Cutter,637,7
Cy,891,2
Cyan,591,2
Cynthia,15129,3
Cypress,312,4
Cyril,445,3
Cyrus,4946,13
Dacey,268,1
Daemon,487,1
Dafne,1199,1
Dagny,259,6
Dahlia,2419,8
Daisey,352,7
Daisie,158,1
Daisy,22751,649
Daizy,280,5
Dakota,40404,101
Dale,3722,6
Daley,154,1
Dalia,2871,6
Dalila,1522,3
Dallas,10639,47
Dalton,26266,4
Dalyla,186,1
Damain,78,1
Damian,25949,7
Damien,18443,5
Damon,8666,3
Dana,8678,11
Dane,6773,1
Danely,158,1
Dang,67,2
Dani,1715,4
Dania,2396,2
Danica,5223,2
Daniel,203548,7
Daniella,9841,1
Danielle,35650,1
Danna,4448,1
Danni,550,1
Dannie,340,2
Danny,10514,28
Dante,12429,61
Dany,326,1
Daphne,5115,30
Daphnee,121,1
Daphnie,218,1
Dara,1189,2
Darby,2288,23
Darcy,1437,21
Daria,1460,4
Darian,5768,1
Dario,2171,1
Darius,12391,2
Darla,1054,33
Darlene,2361,1
Darling,152,4
Darnelle,55,1
Darren,8898,3
Darryl,2916,1
Darwin,2247,19
Daryl,1884,1
Dash,317,46
Dasha,1060,8
Dashel,168,2
Dashiel,105,1
Dashiell,703,4
Dave,984,6
Davey,183,5
David,179444,8
Davidson,271,1
Davon,3679,1
Davy,135,6
Dawn,1566,4
Dawson,17093,6
